id,year,component,bug_class,affected_function,trigger,poc,fix_commit,fixed_in,alloc_arena,verdict,evidence,source,notes
fossil:9e54159f9a839f7f,2026,RBU extension,heap-oob-read,,,,108288ae7f80dc1a78004a98747e789d9acd16ba,,system-malloc,caught,named-in-advisory,https://sqlite.org/src/info/9e54159f9a839f7f,"allocated by the extension itself via sqlite3_malloc*/sqlite3_realloc*. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files, while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Ordinary heap bounds and revocation apply. Prior pass: rbu allocates via sqlite3_malloc PROVENANCE CAVEAT: this row arena was INHERITED from an earlier pass that classified partly by a per-file heuristic (which allocator the containing file calls), not by following this object to its allocation. An adversarial audit of 30 such rows found ~21 wrong, concentrated in exactly two classes: paths running under DisableLookaside (CREATE/ALTER-RENAME/loadStat4) wrongly marked lookaside, and extension rows whose mishandled object was a CORE-supplied sqlite3_value payload wrongly marked system-malloc. Every row the audit named has been corrected; this row was NOT individually re-derived and should be treated as unverified."
fossil:a43c78f9f6a4a83b,2026,core (JSONB),heap-oob-read,jsonTranslateBlobToText,plain-SQL,SELECT json(x'6B37616263162d');,c8074bb0d77f04500b0a6ce29c9525e07c73a96d,3.53.4,lookaside,blind,read-the-source,https://github.com/sqlite/sqlite/commit/c8074bb0d77f04500b0a6ce29c9525e07c73a96d,"a FLOAT5 element whose payload is just '-' makes the decoder do k++ and then read zIn[k] one byte past the element, i.e. past the end of the blob when the element is last (src/json.c:2255 pre-fix); zIn = &pParse->aBlob[i] and aBlob is the argument's own blob buffer, p->aBlob = (u8*)sqlite3_value_blob(pArg) at src/json.c:3625; for the committed repro (a blob literal) that buffer is sqlite3HexToBlob -> sqlite3DbMallocRawNN(db,n/2+1) at src/util.c:1901, 8 bytes; for a table column it is OP_Column -> sqlite3VdbeMemGrow -> sqlite3DbMallocRaw(db,len+2) at src/vdbemem.c:276; both are the connection allocator and both are far under 1200 B, so the byte read is inside a lookaside slot"
fossil:aeb85fdfca0a546c,2026,FTS5,heap-oob-read,xPhraseFirstColumn(),,,2f7c4bbc19225eca8ec744df4e5fdc229cea1fb4,,system-malloc,caught,named-in-advisory,https://sqlite.org/src/info/aeb85fdfca0a546c,"allocated by the extension itself via sqlite3_malloc*/sqlite3_realloc*. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files, while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Ordinary heap bounds and revocation apply. Prior pass: fts5 allocates via sqlite3_malloc PROVENANCE CAVEAT: this row arena was INHERITED from an earlier pass that classified partly by a per-file heuristic (which allocator the containing file calls), not by following this object to its allocation. An adversarial audit of 30 such rows found ~21 wrong, concentrated in exactly two classes: paths running under DisableLookaside (CREATE/ALTER-RENAME/loadStat4) wrongly marked lookaside, and extension rows whose mishandled object was a CORE-supplied sqlite3_value payload wrongly marked system-malloc. Every row the audit named has been corrected; this row was NOT individually re-derived and should be treated as unverified."
fossil:c1c7e024c34da8eb,2026,session extension,heap-oob-read,,C-API-misuse,,62f315020463e5713ac4bee8cb7b8048ab565799,3.53.0,system-malloc,caught,named-in-advisory,https://sqlite.org/src/info/c1c7e024c34da8eb,"allocated by the extension itself via sqlite3_malloc*/sqlite3_realloc*. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files, while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Ordinary heap bounds and revocation apply. Prior pass: session allocates via sqlite3_malloc PROVENANCE CAVEAT: this row arena was INHERITED from an earlier pass that classified partly by a per-file heuristic (which allocator the containing file calls), not by following this object to its allocation. An adversarial audit of 30 such rows found ~21 wrong, concentrated in exactly two classes: paths running under DisableLookaside (CREATE/ALTER-RENAME/loadStat4) wrongly marked lookaside, and extension rows whose mishandled object was a CORE-supplied sqlite3_value payload wrongly marked system-malloc. Every row the audit named has been corrected; this row was NOT individually re-derived and should be treated as unverified."
fossil:e4635c41536a0b36,2026,FTS3,use-after-free,snippet(),,,a87bd2471a9c0606e78d3c3678bcd9cecaa0e731,,system-malloc,caught,named-in-advisory,https://sqlite.org/src/info/e4635c41536a0b36,"allocated by the extension itself via sqlite3_malloc*/sqlite3_realloc*. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files, while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Ordinary heap bounds and revocation apply. Prior pass: fts3 allocates via sqlite3_malloc PROVENANCE CAVEAT: this row arena was INHERITED from an earlier pass that classified partly by a per-file heuristic (which allocator the containing file calls), not by following this object to its allocation. An adversarial audit of 30 such rows found ~21 wrong, concentrated in exactly two classes: paths running under DisableLookaside (CREATE/ALTER-RENAME/loadStat4) wrongly marked lookaside, and extension rows whose mishandled object was a CORE-supplied sqlite3_value payload wrongly marked system-malloc. Every row the audit named has been corrected; this row was NOT individually re-derived and should be treated as unverified."
fossil:ea26bf3cd7fb1116,2026,session extension,heap-oob-read,,,,e7738a97c91fa43f534d628504777e5c3442d7c8,,system-malloc,caught,named-in-advisory,https://sqlite.org/src/info/ea26bf3cd7fb1116,"allocated by the extension itself via sqlite3_malloc*/sqlite3_realloc*. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files, while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Ordinary heap bounds and revocation apply. Prior pass: session allocates via sqlite3_malloc PROVENANCE CAVEAT: this row arena was INHERITED from an earlier pass that classified partly by a per-file heuristic (which allocator the containing file calls), not by following this object to its allocation. An adversarial audit of 30 such rows found ~21 wrong, concentrated in exactly two classes: paths running under DisableLookaside (CREATE/ALTER-RENAME/loadStat4) wrongly marked lookaside, and extension rows whose mishandled object was a CORE-supplied sqlite3_value payload wrongly marked system-malloc. Every row the audit named has been corrected; this row was NOT individually re-derived and should be treated as unverified."
fossil:f567ea96905ec58b,2026,RTREE extension,heap-oob-read,rtreenode(),,,3a621d8a58cc811cf749aea4b6b02c74036aa234,,lookaside,blind,read-the-source,https://sqlite.org/src/info/f567ea96905ec58b,"allocated by the extension itself via sqlite3_malloc*/sqlite3_realloc*. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files, while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Ordinary CORRECTED after adversarial audit (instrumented, positive+negative controlled): same shape as CVE-2019-8457: rtreenode() reads a caller-supplied sqlite3_value blob. Upstream PoC in the fix commit is rtreenode(1, x'00000001'||randomblob(15)), a 19-byte value, which measures as a 128 B lookaside slot."
sqlite-051745a6c3e9,2026,FTS5,integer-overflow,fts5StructureDecode,corrupt-db-file+requires-extension:FTS5,,051745a6c3e9ed51b85a5bd2325749c96fc5c941,3.53.3,system-malloc,caught,read-the-source,https://github.com/sqlite/sqlite/commit/051745a6c3e9ed51b85a5bd2325749c96fc5c941,"Object: the Fts5Structure segment array, sized by nTotal*sizeof(Fts5StructureSegment) computed in 32-bit. allocated by the extension via sqlite3_malloc64/sqlite3_realloc64. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Real heap bounds apply. sibling 667d1b15c102 is the same fix on another branch."
sqlite-082e41f17b57,2026,FTS5,heap-oob-read,fts5IndexIntegrityCheckSegment,corrupt-db-file+requires-extension:FTS5,,082e41f17b57c3ad7781d8bf5e16508eb9c0b030,,system-malloc,caught,read-the-source,https://github.com/sqlite/sqlite/commit/082e41f17b57c3ad7781d8bf5e16508eb9c0b030,"Object: an fts5 page buffer read via fts5DataRead without the leaf-format validation of fts5LeafRead. allocated by the extension via sqlite3_malloc64/sqlite3_realloc64. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Real heap bounds apply."
sqlite-1539575e0526,2026,VDBE,heap-oob-read,vdbeIsMatchingIndexKey,corrupt-db-file,,1539575e052602292205c46e10fe6b751acd3e6f,3.53.0,system-malloc,caught,read-the-source,https://github.com/sqlite/sqlite/commit/1539575e052602292205c46e10fe6b751acd3e6f,"aRec = sqlite3MallocZero(nRec+5) inside vdbeIsMatchingIndexKey (src/vdbeaux.c at commit 1539575e0526); with a corrupt record idxHdr can pass szHdr and getVarint32(&aRec[idxHdr]) then walks past the header and eventually past the 5-byte pad off the end of the block. Explicit sqlite3MallocZero -> real malloc, so bounds apply. batch-id=fossil:3a275b5848767b61"
sqlite-19a2ba1f5b50,2026,FTS5,heap-oob-read,fts5SegIterReverseNewPage,corrupt-db-file+requires-extension:FTS5,,19a2ba1f5b504bef08349e2fd0eb56bc7e6f95af,,system-malloc,caught,read-the-source,https://github.com/sqlite/sqlite/commit/19a2ba1f5b504bef08349e2fd0eb56bc7e6f95af,"Object: an fts5 page buffer read via fts5DataRead instead of fts5LeafRead. allocated by the extension via sqlite3_malloc64/sqlite3_realloc64. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Real heap bounds apply."
sqlite-1e7bd5531ede,2026,FTS3,heap-oob-read,getNextNode / fts3ExprTestCommon,C-API-misuse+requires-build:SQLITE_TEST,,1e7bd5531ede51c24fa4a30ad7e78995cd32062e,,system-malloc,caught,read-the-source,https://github.com/sqlite/sqlite/commit/1e7bd5531ede51c24fa4a30ad7e78995cd32062e,"Object: the fts3 expression string zStr, and expression nesting depth. allocated by the extension via sqlite3_malloc64/sqlite3_realloc64. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Real heap bounds apply."
sqlite-2cf769150624,2026,RBU,heap-oob-read,rbuGetUpdateStmt,corrupt-db-file+requires-extension:RBU,,2cf7691506240e898bcd1caf8811f033bbd04072,3.53.4,system-malloc,caught,read-the-source,https://github.com/sqlite/sqlite/commit/2cf7691506240e898bcd1caf8811f033bbd04072,"Object: pUp->zMask copied for pIter->nTblCol bytes from a shorter zMask. allocated by the extension via sqlite3_malloc64/sqlite3_realloc64. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Real heap bounds apply."
sqlite-33478099c96c,2026,ext/misc/zipfile,heap-oob-read,zipfileScanExtra,corrupt-db-file+requires-extension:zipfile,https://sqlite.org/forum/forumpost/721a05d2c5,33478099c96c7921c8fd869bdb937c2dfc436358,3.52.0,system-malloc,caught,read-the-source,https://github.com/sqlite/sqlite/commit/33478099c96c7921c8fd869bdb937c2dfc436358,"scans &aRead[nFile], a pointer into the caller-supplied archive image aBlob = sqlite3_value_blob(argv[0]) ext/misc/zipfile.c:1327; in the committed repro that blob is readfile()'s buffer from sqlite3_malloc64 ext/misc/fileio.c:190, i.e. system heap, and the 9-byte timestamp read runs past its end; on the file-handle path the same read would instead land inside the one-block ZipfileTab carve (zipfile.c:396/400/402)."
sqlite-33e4dc8833e4,2026,pager,heap-overflow-write,readSuperJournal,corrupt-db-file+custom-VFS with large mxPathname,,33e4dc8833e4a4d8390cc118ca6a871571438212,3.53.3,system-malloc,caught,read-the-source,https://github.com/sqlite/sqlite/commit/33e4dc8833e4a4d8390cc118ca6a871571438212,"The super-journal name was read into Pager.pTmpSpace, a page-sized buffer, while the name may be up to sqlite3_vfs.mxPathname+1 bytes; with a small page size and a large mxPathname the write runs off the end. pTmpSpace comes from sqlite3PageMalloc -> pcache1Alloc (src/pcache1.c:343). In a default build no SQLITE_CONFIG_PAGECACHE buffer is configured, so pcache1Alloc falls through to sqlite3Malloc at src/pcache1.c:359 and this is ordinary heap: caught. NOTE the configuration dependence - with SQLITE_CONFIG_PAGECACHE set the same buffer is carved from the global page slab and the same overrun would land in the neighbouring page slot and become blind. Sibling commit dacabb4a33bb. The fix allocates a dedicated buffer instead."
sqlite-4da2ddf50e3e,2026,session extension,heap-oob-read,sessionChangesetBufferRecord,corrupt-changeset+requires-extension:session,,4da2ddf50e3e29a3d9a4d61f5f3423dc2efc31f7,,system-malloc,caught,read-the-source,https://github.com/sqlite/sqlite/commit/4da2ddf50e3e29a3d9a4d61f5f3423dc2efc31f7,"Object: pIn->aData, read at iNext+nByte without checking against nData. allocated by the extension via sqlite3_malloc64/sqlite3_realloc64. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Real heap bounds apply."
sqlite-50563d14a464,2026,FTS5,heap-overflow-write,fts5DoSecureDelete,corrupt-db-file+requires-extension:FTS5,,50563d14a46481ae39b77e6ab751cd3a686cf643,,system-malloc,caught,read-the-source,https://github.com/sqlite/sqlite/commit/50563d14a46481ae39b77e6ab751cd3a686cf643,"Object: the fts5 leaf page buffer aPg, written at nPg past its end. allocated by the extension via sqlite3_malloc64/sqlite3_realloc64. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Real heap bounds apply."
sqlite-535b1f287574,2026,session extension,heap-oob-read,sessionChangesetBufferRecord / sessionVarintGetSafe,corrupt-changeset+requires-extension:session,,535b1f287574d4a9e41ba7574254cbf742ab4dbe,3.53.0,system-malloc,caught,read-the-source,https://github.com/sqlite/sqlite/commit/535b1f287574d4a9e41ba7574254cbf742ab4dbe,"Object: pIn->aData plus an uninitialised varint copy buffer. allocated by the extension via sqlite3_malloc64/sqlite3_realloc64. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Real heap bounds apply."
sqlite-600eb440c2b2,2026,core,heap-overflow-write,sqlite3changegroup_change_blob,C-API-misuse+requires-extension:session,https://github.com/sqlite/sqlite/blob/600eb440c2b29fb02f87dc3b9e56ee9c0f654509/test/c/changeblob1.c,600eb440c2b29fb02f87dc3b9e56ee9c0f654509,3.53.2,system-malloc,caught,read-the-source,https://github.com/sqlite/sqlite/commit/600eb440c2b29fb02f87dc3b9e56ee9c0f654509,"pBuf->aBuf is grown by sessionBufferGrow -> sqlite3_realloc64 at ext/session/sqlite3session.c:1454, reached through checkChangeParams at ext/session/sqlite3session.c:6978. nByte was computed as 1 + sessionVarintLen(nVal) + nVal in int arithmetic before widening to i64, so a near-INT_MAX nVal wraps and the buffer is sized far too small, then memcpy copies nVal bytes into it. sqlite3_realloc64 -> sqlite3Malloc, and a ~2GB overrun leaves any block: caught."
sqlite-62d17739bc27,2026,FTS5,heap-oob-read,fts5DlidxLvlPrev,corrupt-db-file+requires-extension:FTS5,,62d17739bc270274791ceba5f1993041413fd705,,system-malloc,caught,read-the-source,https://github.com/sqlite/sqlite/commit/62d17739bc270274791ceba5f1993041413fd705,"Object: pLvl->pData->p, scanned backwards past its nn end. allocated by the extension via sqlite3_malloc64/sqlite3_realloc64. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Real heap bounds apply."
sqlite-6c1aa834f6ee,2026,FTS5,heap-oob-read,fts5DoSecureDelete,corrupt-db-file+requires-extension:FTS5,,6c1aa834f6ee5474dcb38122d8ceebd8a1409e0c,3.53.2,system-malloc,caught,read-the-source,https://github.com/sqlite/sqlite/commit/6c1aa834f6ee5474dcb38122d8ceebd8a1409e0c,"Object: the fts5 page buffer indexed from an unvalidated iStart. allocated by the extension via sqlite3_malloc64/sqlite3_realloc64. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Real heap bounds apply. sibling 51b2c3863b31 is the same fix on another branch."
sqlite-6f8f9fbe2530,2026,ext/session,heap-oob-read,sessionReadRecord + sessionChangesetNextOne,corrupt-changeset,,6f8f9fbe2530c3ff82a13711b3fe8fd0dcae5c7a,3.52.0,system-malloc,caught,read-the-source,https://github.com/sqlite/sqlite/commit/6f8f9fbe2530c3ff82a13711b3fe8fd0dcae5c7a,"varint and op-byte reads past the end of SessionInput.aData; for sqlite3changeset_apply/changegroup_add aData is the caller's buffer (ext/session/sqlite3session.c:3389 and :4313), and in the streamed case it is the module's own buffer grown by sqlite3_realloc64 (ext/session/sqlite3session.c:1454); sessions makes no connection-allocator calls, so ordinary system heap either way."
sqlite-764881119d63,2026,core,use-after-free,sqlite3_backup_step,C-API-misuse+plain-SQL,https://github.com/sqlite/sqlite/blob/764881119d638c0e9390f2687b1d0865e6b8e196/test/backup5.test,764881119d638c0e9390f2687b1d0865e6b8e196,,lookaside,blind,read-the-source,https://github.com/sqlite/sqlite/commit/764881119d638c0e9390f2687b1d0865e6b8e196,"sqlite3_backup cached Db* pSrc/pDest into db->aDb[]. ATTACH moves that array off db->aDbStatic with aNew = sqlite3DbMallocRawNN(db, sizeof(db->aDb[0])*3) at src/attach.c:164 and grows it with sqlite3DbRealloc at src/attach.c:168. sizeof(Db)=32 (src/sqliteInt.h:1481-1487), so 3 entries = 96 bytes, well under lookaside sz 1200, and ATTACH runs at statement execution with lookaside enabled; sqlite3DbRealloc frees the old in-range block back onto the lookaside freelist, so the stale Db* still points inside the slab: blind. The fix replaces the pointers with schema indexes."
sqlite-7fa8cff00cfc,2026,FTS5,heap-oob-read,fts5VocabFilterMethod,plain-SQL+requires-extension:FTS5,,7fa8cff00cfc82c65fc9c3b9028ad0c9d5cc07ea,,system-malloc,caught,read-the-source,https://github.com/sqlite/sqlite/commit/7fa8cff00cfc82c65fc9c3b9028ad0c9d5cc07ea,"Object: pCsr->nLeTerm / the fts5vocab term buffer. allocated by the extension via sqlite3_malloc64/sqlite3_realloc64. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Real heap bounds apply."
sqlite-81ceb00b0076,2026,ext-misc:zipfile,integer-overflow,zipfileBufferGrow,corrupt-db-file+requires-extension:zipfile,,81ceb00b0076928c16f18f8216d46fb576b2cd21,3.53.2,system-malloc,caught,read-the-source,https://github.com/sqlite/sqlite/commit/81ceb00b0076928c16f18f8216d46fb576b2cd21,"Object: the ZipfileBuffer, whose growth test pBuf->n+nByte overflowed 32-bit int. allocated by the extension via sqlite3_malloc64/sqlite3_realloc64. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Real heap bounds apply. sibling 548127491255 is the same fix on another branch."
